Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_1_R1	(2.0, 49.0)	(3.0, 76.0)	(4.0, 74.0)	(5.0, 77.0)	(6.0, 134.0)	(7.0, 335.0)	(8.0, 814.0)	(9.0, 1038.0)	(10.0, 1489.0)	(11.0, 1749.0)	(12.0, 2306.0)	(13.0, 2839.0)	(14.0, 3628.0)	(15.0, 4616.0)	(16.0, 6169.0)	(17.0, 7994.0)	(18.0, 10524.0)	(19.0, 13924.0)	(20.0, 20123.0)	(21.0, 38029.0)	(22.0, 147734.0)	(23.0, 37876.0)	(24.0, 43286.0)	(25.0, 52940.0)	(26.0, 67954.0)	(27.0, 88483.0)	(28.0, 114574.0)	(29.0, 146940.0)	(30.0, 187448.0)	(31.0, 240658.0)	(32.0, 320314.0)	(33.0, 449796.0)	(34.0, 681192.0)	(35.0, 1182761.0)	(36.0, 2795351.0)	(37.0, 12930393.0)
20150415.B-CAMA_reseq_1_R2	(2.0, 22485.0)	(3.0, 2898.0)	(4.0, 2352.0)	(5.0, 2039.0)	(6.0, 2074.0)	(7.0, 2164.0)	(8.0, 2746.0)	(9.0, 3277.0)	(10.0, 3891.0)	(11.0, 4493.0)	(12.0, 5346.0)	(13.0, 7077.0)	(14.0, 8999.0)	(15.0, 11257.0)	(16.0, 14491.0)	(17.0, 18414.0)	(18.0, 25335.0)	(19.0, 38331.0)	(20.0, 171623.0)	(21.0, 49948.0)	(22.0, 53512.0)	(23.0, 62345.0)	(24.0, 74134.0)	(25.0, 87822.0)	(26.0, 103441.0)	(27.0, 121748.0)	(28.0, 141772.0)	(29.0, 166094.0)	(30.0, 196682.0)	(31.0, 240637.0)	(32.0, 302116.0)	(33.0, 399922.0)	(34.0, 561900.0)	(35.0, 893022.0)	(36.0, 1886302.0)	(37.0, 13912998.0)
20150415.B-CAMA_reseq_20_R1	(2.0, 55.0)	(3.0, 65.0)	(4.0, 85.0)	(5.0, 87.0)	(6.0, 155.0)	(7.0, 320.0)	(8.0, 861.0)	(9.0, 1124.0)	(10.0, 1570.0)	(11.0, 1768.0)	(12.0, 2296.0)	(13.0, 2857.0)	(14.0, 3613.0)	(15.0, 4478.0)	(16.0, 5826.0)	(17.0, 7211.0)	(18.0, 9317.0)	(19.0, 11905.0)	(20.0, 16202.0)	(21.0, 24384.0)	(22.0, 78526.0)	(23.0, 125748.0)	(24.0, 37068.0)	(25.0, 48840.0)	(26.0, 62968.0)	(27.0, 80644.0)	(28.0, 103956.0)	(29.0, 133647.0)	(30.0, 171164.0)	(31.0, 218367.0)	(32.0, 286814.0)	(33.0, 387249.0)	(34.0, 558239.0)	(35.0, 901387.0)	(36.0, 2029900.0)	(37.0, 17717470.0)
20150415.B-CAMA_reseq_20_R2	(2.0, 24752.0)	(3.0, 4204.0)	(4.0, 2303.0)	(5.0, 2204.0)	(6.0, 2451.0)	(7.0, 2583.0)	(8.0, 3141.0)	(9.0, 3753.0)	(10.0, 4394.0)	(11.0, 4997.0)	(12.0, 6369.0)	(13.0, 8176.0)	(14.0, 10424.0)	(15.0, 13869.0)	(16.0, 18203.0)	(17.0, 24489.0)	(18.0, 34095.0)	(19.0, 52288.0)	(20.0, 171070.0)	(21.0, 57641.0)	(22.0, 66061.0)	(23.0, 78135.0)	(24.0, 91744.0)	(25.0, 108959.0)	(26.0, 128035.0)	(27.0, 148993.0)	(28.0, 173419.0)	(29.0, 203923.0)	(30.0, 241503.0)	(31.0, 295333.0)	(32.0, 373647.0)	(33.0, 494556.0)	(34.0, 701695.0)	(35.0, 1129494.0)	(36.0, 2504892.0)	(37.0, 15844371.0)
20150415.B-CAMA_reseq_21_R1	(2.0, 66.0)	(3.0, 105.0)	(4.0, 92.0)	(5.0, 100.0)	(6.0, 207.0)	(7.0, 434.0)	(8.0, 1021.0)	(9.0, 1430.0)	(10.0, 1894.0)	(11.0, 2165.0)	(12.0, 2871.0)	(13.0, 3377.0)	(14.0, 4381.0)	(15.0, 5433.0)	(16.0, 6878.0)	(17.0, 8661.0)	(18.0, 11046.0)	(19.0, 14116.0)	(20.0, 19529.0)	(21.0, 30086.0)	(22.0, 101118.0)	(23.0, 164853.0)	(24.0, 48175.0)	(25.0, 64129.0)	(26.0, 83579.0)	(27.0, 106867.0)	(28.0, 138579.0)	(29.0, 178836.0)	(30.0, 229428.0)	(31.0, 295299.0)	(32.0, 387357.0)	(33.0, 526692.0)	(34.0, 758154.0)	(35.0, 1224700.0)	(36.0, 2728215.0)	(37.0, 18759966.0)
20150415.B-CAMA_reseq_21_R2	(2.0, 30110.0)	(3.0, 5863.0)	(4.0, 3634.0)	(5.0, 3403.0)	(6.0, 3773.0)	(7.0, 3949.0)	(8.0, 4651.0)	(9.0, 5501.0)	(10.0, 6448.0)	(11.0, 7613.0)	(12.0, 9587.0)	(13.0, 12172.0)	(14.0, 15840.0)	(15.0, 21338.0)	(16.0, 28494.0)	(17.0, 38397.0)	(18.0, 53355.0)	(19.0, 79950.0)	(20.0, 237975.0)	(21.0, 92440.0)	(22.0, 105855.0)	(23.0, 123890.0)	(24.0, 144886.0)	(25.0, 169449.0)	(26.0, 196351.0)	(27.0, 226117.0)	(28.0, 259289.0)	(29.0, 300158.0)	(30.0, 351324.0)	(31.0, 422945.0)	(32.0, 530430.0)	(33.0, 693911.0)	(34.0, 966526.0)	(35.0, 1527211.0)	(36.0, 3234269.0)	(37.0, 15992735.0)
20150415.B-CAMA_reseq_22_R1	(2.0, 61.0)	(3.0, 82.0)	(4.0, 71.0)	(5.0, 91.0)	(6.0, 142.0)	(7.0, 316.0)	(8.0, 760.0)	(9.0, 1147.0)	(10.0, 1388.0)	(11.0, 1628.0)	(12.0, 2118.0)	(13.0, 2608.0)	(14.0, 3364.0)	(15.0, 4233.0)	(16.0, 5318.0)	(17.0, 6868.0)	(18.0, 8706.0)	(19.0, 11515.0)	(20.0, 15475.0)	(21.0, 23700.0)	(22.0, 74680.0)	(23.0, 141745.0)	(24.0, 37716.0)	(25.0, 49893.0)	(26.0, 64214.0)	(27.0, 81940.0)	(28.0, 106169.0)	(29.0, 135512.0)	(30.0, 173189.0)	(31.0, 221968.0)	(32.0, 288188.0)	(33.0, 387318.0)	(34.0, 552348.0)	(35.0, 887107.0)	(36.0, 1970930.0)	(37.0, 16249714.0)
20150415.B-CAMA_reseq_22_R2	(2.0, 27200.0)	(3.0, 5395.0)	(4.0, 3487.0)	(5.0, 3355.0)	(6.0, 3452.0)	(7.0, 3453.0)	(8.0, 4107.0)	(9.0, 4646.0)	(10.0, 5439.0)	(11.0, 6509.0)	(12.0, 8093.0)	(13.0, 10059.0)	(14.0, 13050.0)	(15.0, 17320.0)	(16.0, 22967.0)	(17.0, 30865.0)	(18.0, 42644.0)	(19.0, 64055.0)	(20.0, 196349.0)	(21.0, 75461.0)	(22.0, 86615.0)	(23.0, 100841.0)	(24.0, 117516.0)	(25.0, 136305.0)	(26.0, 157426.0)	(27.0, 180727.0)	(28.0, 207386.0)	(29.0, 237597.0)	(30.0, 278577.0)	(31.0, 334706.0)	(32.0, 415168.0)	(33.0, 540818.0)	(34.0, 753993.0)	(35.0, 1190400.0)	(36.0, 2529558.0)	(37.0, 13696683.0)
20150415.B-CAMA_reseq_23_R1	(2.0, 44.0)	(3.0, 45.0)	(4.0, 60.0)	(5.0, 53.0)	(6.0, 127.0)	(7.0, 292.0)	(8.0, 807.0)	(9.0, 1070.0)	(10.0, 1463.0)	(11.0, 1732.0)	(12.0, 2178.0)	(13.0, 2628.0)	(14.0, 3423.0)	(15.0, 4591.0)	(16.0, 6503.0)	(17.0, 9987.0)	(18.0, 15607.0)	(19.0, 25239.0)	(20.0, 40446.0)	(21.0, 76953.0)	(22.0, 339306.0)	(23.0, 880522.0)	(24.0, 77056.0)	(25.0, 97276.0)	(26.0, 103693.0)	(27.0, 104570.0)	(28.0, 115044.0)	(29.0, 136757.0)	(30.0, 163711.0)	(31.0, 198550.0)	(32.0, 249383.0)	(33.0, 334547.0)	(34.0, 480464.0)	(35.0, 779742.0)	(36.0, 1780722.0)	(37.0, 15879322.0)
20150415.B-CAMA_reseq_23_R2	(2.0, 27198.0)	(3.0, 4941.0)	(4.0, 2328.0)	(5.0, 2228.0)	(6.0, 2389.0)	(7.0, 2601.0)	(8.0, 3464.0)	(9.0, 3959.0)	(10.0, 4401.0)	(11.0, 5045.0)	(12.0, 7418.0)	(13.0, 11231.0)	(14.0, 16662.0)	(15.0, 25274.0)	(16.0, 36863.0)	(17.0, 55441.0)	(18.0, 90666.0)	(19.0, 183920.0)	(20.0, 1024339.0)	(21.0, 109122.0)	(22.0, 94511.0)	(23.0, 93595.0)	(24.0, 96456.0)	(25.0, 105926.0)	(26.0, 120514.0)	(27.0, 136552.0)	(28.0, 155453.0)	(29.0, 176674.0)	(30.0, 205032.0)	(31.0, 249455.0)	(32.0, 317899.0)	(33.0, 425116.0)	(34.0, 611044.0)	(35.0, 1002231.0)	(36.0, 2281502.0)	(37.0, 14222463.0)
