Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20150415.B-CAMA_reseq_19_R2										23.889891049804916	39.0	126.0	126	18.181818181818183	26.121662999999998
20150415.B-CAMA_reseq_1_R1										20.49813768702174	38.0	126.0	126	9.090909090909092	19.603687
20150415.B-CAMA_reseq_1_R2										20.323212108853156	38.0	126.0	126	18.181818181818183	19.603687
20150415.B-CAMA_reseq_2	1.26883	94.0712	4195.003076999999	35.39201	39.114	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_20	0.762918	94.6264	5493.169738	46.072331999999996	39.0191	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_20_R1										22.686984889883973	39.0	126.0	126	0.0	23.036165999999998
20150415.B-CAMA_reseq_20_R2										22.34229040823344	39.0	126.0	126	18.181818181818183	23.036165999999998
20150415.B-CAMA_reseq_21	0.6914359999999999	93.3546	6095.382783	51.819677999999996	39.177499999999995	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_21_R1										23.38548475587885	39.0	126.0	126	9.090909090909092	25.909838999999998
20150415.B-CAMA_reseq_21_R2										22.858668959482927	39.0	126.0	126	27.27272727272727	25.909838999999998
20150415.B-CAMA_reseq_22	0.733564	93.7073	5079.946610999999	43.024443999999995	38.974399999999996	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_22_R1										22.885935099541967	38.0	126.0	126	9.090909090909092	21.512221999999998
20150415.B-CAMA_reseq_22_R2										22.37140842233029	39.0	126.0	126	27.27272727272727	21.512221999999998
20150415.B-CAMA_reseq_23	0.7622140000000001	92.17880000000001	5090.397831	43.827825999999995	39.583	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_23_R1										28.351442665436792	39.0	126.0	126	9.090909090909092	21.913912999999997
20150415.B-CAMA_reseq_23_R2										27.990463748315435	39.0	126.0	126	18.181818181818183	21.913912999999997
