Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
KTP-11_S23_R1_001	(0, 190.0)	(5, 246.0)	(10, 273.0)	(15, 251.0)	(20, 281.0)	(25, 367.0)	(30, 11645.0)	(35, 14218.0)	(40, 14119.0)	(45, 14165.0)	(50, 14904.0)	(55, 15639.0)	(60, 16422.0)	(65, 17565.0)	(70, 18686.0)	(75, 19734.0)	(80, 20499.0)	(85, 22772.0)	(90, 23700.0)	(95, 25769.0)	(100, 27801.0)	(105, 30584.0)	(110, 32945.0)	(115, 36955.0)	(120, 39128.0)	(125, 43186.0)	(130, 47878.0)	(135, 53487.0)	(140, 77061.0)	(145, 87865.0)	(150, 11965313.0)
KTP-11_S23_R2_001	(0, 173.0)	(5, 227.0)	(10, 283.0)	(15, 353.0)	(20, 512.0)	(25, 767.0)	(30, 11804.0)	(35, 14254.0)	(40, 14162.0)	(45, 14169.0)	(50, 14969.0)	(55, 15710.0)	(60, 16512.0)	(65, 17650.0)	(70, 18748.0)	(75, 19759.0)	(80, 20543.0)	(85, 22877.0)	(90, 23759.0)	(95, 25801.0)	(100, 27778.0)	(105, 30566.0)	(110, 32947.0)	(115, 37051.0)	(120, 39093.0)	(125, 43113.0)	(130, 47707.0)	(135, 53236.0)	(140, 74797.0)	(145, 84393.0)	(150, 11969935.0)
KTP-12_S24_R1_001	(0, 260.0)	(5, 334.0)	(10, 336.0)	(15, 341.0)	(20, 383.0)	(25, 517.0)	(30, 16742.0)	(35, 20934.0)	(40, 20528.0)	(45, 21485.0)	(50, 22908.0)	(55, 24912.0)	(60, 26887.0)	(65, 28773.0)	(70, 31177.0)	(75, 33387.0)	(80, 35402.0)	(85, 38853.0)	(90, 40875.0)	(95, 44053.0)	(100, 46790.0)	(105, 50473.0)	(110, 54578.0)	(115, 60305.0)	(120, 63529.0)	(125, 70021.0)	(130, 76911.0)	(135, 84168.0)	(140, 118567.0)	(145, 134354.0)	(150, 16099785.0)
KTP-12_S24_R2_001	(0, 269.0)	(5, 365.0)	(10, 385.0)	(15, 424.0)	(20, 604.0)	(25, 981.0)	(30, 16870.0)	(35, 20936.0)	(40, 20626.0)	(45, 21593.0)	(50, 22899.0)	(55, 24964.0)	(60, 26895.0)	(65, 28800.0)	(70, 31177.0)	(75, 33394.0)	(80, 35423.0)	(85, 38845.0)	(90, 40957.0)	(95, 44019.0)	(100, 46701.0)	(105, 50492.0)	(110, 54530.0)	(115, 60173.0)	(120, 63412.0)	(125, 69774.0)	(130, 76605.0)	(135, 83769.0)	(140, 115556.0)	(145, 130831.0)	(150, 16106299.0)
KTP-13_S25_R1_001	(0, 208.0)	(5, 273.0)	(10, 282.0)	(15, 324.0)	(20, 342.0)	(25, 426.0)	(30, 9149.0)	(35, 10845.0)	(40, 10552.0)	(45, 10680.0)	(50, 11087.0)	(55, 11996.0)	(60, 13171.0)	(65, 14342.0)	(70, 15804.0)	(75, 16951.0)	(80, 19102.0)	(85, 20324.0)	(90, 21819.0)	(95, 23791.0)	(100, 25747.0)	(105, 28070.0)	(110, 30890.0)	(115, 34954.0)	(120, 37257.0)	(125, 41198.0)	(130, 46514.0)	(135, 51297.0)	(140, 77748.0)	(145, 89798.0)	(150, 14160412.0)
KTP-13_S25_R2_001	(0, 239.0)	(5, 284.0)	(10, 344.0)	(15, 373.0)	(20, 503.0)	(25, 761.0)	(30, 9317.0)	(35, 10925.0)	(40, 10645.0)	(45, 10746.0)	(50, 11194.0)	(55, 12126.0)	(60, 13253.0)	(65, 14417.0)	(70, 15879.0)	(75, 17020.0)	(80, 19166.0)	(85, 20336.0)	(90, 21880.0)	(95, 23812.0)	(100, 25800.0)	(105, 28074.0)	(110, 30952.0)	(115, 34976.0)	(120, 37178.0)	(125, 41106.0)	(130, 46373.0)	(135, 51074.0)	(140, 75461.0)	(145, 85745.0)	(150, 14165394.0)
KTP-14_S26_R1_001	(0, 322.0)	(5, 394.0)	(10, 417.0)	(15, 405.0)	(20, 432.0)	(25, 496.0)	(30, 14621.0)	(35, 17604.0)	(40, 17291.0)	(45, 17180.0)	(50, 17808.0)	(55, 19017.0)	(60, 19666.0)	(65, 20657.0)	(70, 21748.0)	(75, 23195.0)	(80, 25012.0)	(85, 26448.0)	(90, 27581.0)	(95, 30071.0)	(100, 32395.0)	(105, 34320.0)	(110, 37782.0)	(115, 42448.0)	(120, 43886.0)	(125, 48568.0)	(130, 52508.0)	(135, 57747.0)	(140, 89846.0)	(145, 102766.0)	(150, 17283943.0)
KTP-14_S26_R2_001	(0, 319.0)	(5, 361.0)	(10, 464.0)	(15, 491.0)	(20, 650.0)	(25, 902.0)	(30, 14791.0)	(35, 17610.0)	(40, 17347.0)	(45, 17230.0)	(50, 17904.0)	(55, 19138.0)	(60, 19732.0)	(65, 20759.0)	(70, 21887.0)	(75, 23307.0)	(80, 25066.0)	(85, 26579.0)	(90, 27595.0)	(95, 30089.0)	(100, 32430.0)	(105, 34377.0)	(110, 37721.0)	(115, 42431.0)	(120, 43862.0)	(125, 48411.0)	(130, 52324.0)	(135, 57377.0)	(140, 86905.0)	(145, 98682.0)	(150, 17289833.0)
KTP-15_S27_R1_001	(0, 250.0)	(5, 327.0)	(10, 363.0)	(15, 390.0)	(20, 408.0)	(25, 438.0)	(30, 12274.0)	(35, 14758.0)	(40, 14340.0)	(45, 14227.0)	(50, 14814.0)	(55, 15180.0)	(60, 16035.0)	(65, 16835.0)	(70, 17504.0)	(75, 18689.0)	(80, 19373.0)	(85, 20774.0)	(90, 21969.0)	(95, 23630.0)	(100, 25150.0)	(105, 26739.0)	(110, 28754.0)	(115, 32681.0)	(120, 33049.0)	(125, 36161.0)	(130, 39536.0)	(135, 43364.0)	(140, 71388.0)	(145, 82086.0)	(150, 16358666.0)
KTP-15_S27_R2_001	(0, 302.0)	(5, 378.0)	(10, 398.0)	(15, 541.0)	(20, 738.0)	(25, 1054.0)	(30, 12445.0)	(35, 14859.0)	(40, 14409.0)	(45, 14253.0)	(50, 14929.0)	(55, 15282.0)	(60, 16092.0)	(65, 16858.0)	(70, 17576.0)	(75, 18776.0)	(80, 19532.0)	(85, 20864.0)	(90, 22062.0)	(95, 23723.0)	(100, 25209.0)	(105, 26791.0)	(110, 28887.0)	(115, 32867.0)	(120, 33054.0)	(125, 36236.0)	(130, 39514.0)	(135, 43233.0)	(140, 69249.0)	(145, 79271.0)	(150, 16360770.0)
KTP-16_S28_R1_001	(0, 201.0)	(5, 263.0)	(10, 256.0)	(15, 257.0)	(20, 312.0)	(25, 262.0)	(30, 8293.0)	(35, 9946.0)	(40, 9748.0)	(45, 9726.0)	(50, 10014.0)	(55, 10543.0)	(60, 11063.0)	(65, 11556.0)	(70, 12311.0)	(75, 13306.0)	(80, 14400.0)	(85, 15625.0)	(90, 16425.0)	(95, 18156.0)	(100, 19385.0)	(105, 21572.0)	(110, 23261.0)	(115, 26987.0)	(120, 27503.0)	(125, 30621.0)	(130, 33168.0)	(135, 36497.0)	(140, 57862.0)	(145, 68198.0)	(150, 13129893.0)
KTP-16_S28_R2_001	(0, 214.0)	(5, 284.0)	(10, 269.0)	(15, 347.0)	(20, 430.0)	(25, 627.0)	(30, 8403.0)	(35, 10012.0)	(40, 9761.0)	(45, 9812.0)	(50, 10055.0)	(55, 10610.0)	(60, 11083.0)	(65, 11593.0)	(70, 12355.0)	(75, 13340.0)	(80, 14462.0)	(85, 15704.0)	(90, 16499.0)	(95, 18219.0)	(100, 19396.0)	(105, 21550.0)	(110, 23351.0)	(115, 27042.0)	(120, 27478.0)	(125, 30544.0)	(130, 33061.0)	(135, 36339.0)	(140, 56427.0)	(145, 64815.0)	(150, 13133528.0)
KTP-17_S29_R1_001	(0, 287.0)	(5, 332.0)	(10, 326.0)	(15, 329.0)	(20, 386.0)	(25, 408.0)	(30, 11635.0)	(35, 14112.0)	(40, 13717.0)	(45, 13696.0)	(50, 14379.0)	(55, 14910.0)	(60, 15723.0)	(65, 16613.0)	(70, 17224.0)	(75, 18256.0)	(80, 19801.0)	(85, 21079.0)	(90, 22900.0)	(95, 25201.0)	(100, 27867.0)	(105, 30127.0)	(110, 34233.0)	(115, 38279.0)	(120, 41605.0)	(125, 45641.0)	(130, 51391.0)	(135, 57148.0)	(140, 86224.0)	(145, 96714.0)	(150, 15627753.0)
KTP-17_S29_R2_001	(0, 280.0)	(5, 353.0)	(10, 358.0)	(15, 427.0)	(20, 634.0)	(25, 854.0)	(30, 11841.0)	(35, 14122.0)	(40, 13784.0)	(45, 13793.0)	(50, 14455.0)	(55, 15009.0)	(60, 15745.0)	(65, 16694.0)	(70, 17289.0)	(75, 18340.0)	(80, 19816.0)	(85, 21216.0)	(90, 22989.0)	(95, 25285.0)	(100, 27869.0)	(105, 30189.0)	(110, 34312.0)	(115, 38431.0)	(120, 41609.0)	(125, 45575.0)	(130, 51246.0)	(135, 56985.0)	(140, 84152.0)	(145, 93792.0)	(150, 15630852.0)
KTP-18_S30_R1_001	(0, 308.0)	(5, 374.0)	(10, 348.0)	(15, 399.0)	(20, 405.0)	(25, 461.0)	(30, 13306.0)	(35, 16292.0)	(40, 16295.0)	(45, 15773.0)	(50, 16899.0)	(55, 17613.0)	(60, 18358.0)	(65, 19532.0)	(70, 20545.0)	(75, 21904.0)	(80, 23345.0)	(85, 24405.0)	(90, 26089.0)	(95, 27214.0)	(100, 29402.0)	(105, 31292.0)	(110, 34346.0)	(115, 39127.0)	(120, 40365.0)	(125, 45216.0)	(130, 50538.0)	(135, 56488.0)	(140, 87154.0)	(145, 98566.0)	(150, 15736356.0)
KTP-18_S30_R2_001	(0, 265.0)	(5, 334.0)	(10, 428.0)	(15, 482.0)	(20, 615.0)	(25, 885.0)	(30, 13442.0)	(35, 16338.0)	(40, 16354.0)	(45, 15851.0)	(50, 16895.0)	(55, 17667.0)	(60, 18371.0)	(65, 19590.0)	(70, 20628.0)	(75, 21927.0)	(80, 23378.0)	(85, 24426.0)	(90, 26213.0)	(95, 27199.0)	(100, 29409.0)	(105, 31333.0)	(110, 34329.0)	(115, 39207.0)	(120, 40321.0)	(125, 45112.0)	(130, 50354.0)	(135, 56240.0)	(140, 84622.0)	(145, 94725.0)	(150, 15741775.0)
KTP-19_S31_R1_001	(0, 428.0)	(5, 547.0)	(10, 544.0)	(15, 546.0)	(20, 609.0)	(25, 650.0)	(30, 23757.0)	(35, 29474.0)	(40, 29067.0)	(45, 28769.0)	(50, 29912.0)	(55, 31239.0)	(60, 32731.0)	(65, 33947.0)	(70, 35569.0)	(75, 37172.0)	(80, 38558.0)	(85, 40827.0)	(90, 42459.0)	(95, 44807.0)	(100, 47300.0)	(105, 49642.0)	(110, 53129.0)	(115, 58734.0)	(120, 60768.0)	(125, 66033.0)	(130, 73498.0)	(135, 82146.0)	(140, 128826.0)	(145, 147537.0)	(150, 25514784.0)
KTP-19_S31_R2_001	(0, 394.0)	(5, 553.0)	(10, 586.0)	(15, 780.0)	(20, 1025.0)	(25, 1477.0)	(30, 24027.0)	(35, 29558.0)	(40, 29165.0)	(45, 28884.0)	(50, 30034.0)	(55, 31370.0)	(60, 32909.0)	(65, 34057.0)	(70, 35732.0)	(75, 37303.0)	(80, 38747.0)	(85, 40995.0)	(90, 42637.0)	(95, 44950.0)	(100, 47421.0)	(105, 49815.0)	(110, 53354.0)	(115, 59001.0)	(120, 60846.0)	(125, 65987.0)	(130, 73371.0)	(135, 81989.0)	(140, 126865.0)	(145, 141887.0)	(150, 25518290.0)
KTP-1_S13_R1_001	(0, 189.0)	(5, 229.0)	(10, 239.0)	(15, 252.0)	(20, 288.0)	(25, 359.0)	(30, 9210.0)	(35, 10820.0)	(40, 10687.0)	(45, 10441.0)	(50, 10511.0)	(55, 11130.0)	(60, 11581.0)	(65, 12130.0)	(70, 12521.0)	(75, 13272.0)	(80, 14267.0)	(85, 15148.0)	(90, 16317.0)	(95, 17431.0)	(100, 18794.0)	(105, 19825.0)	(110, 21757.0)	(115, 24682.0)	(120, 25312.0)	(125, 27410.0)	(130, 29883.0)	(135, 32633.0)	(140, 53181.0)	(145, 62788.0)	(150, 11504241.0)
