Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KTP-12_S24_R1_001	(1.0, 74.45078267641419)	(2.0, 11.515444403395739)	(3.0, 3.394918356713678)	(4.0, 1.9020064009332056)	(5.0, 1.2947907530038092)	(6.0, 0.9948309487382468)	(7.0, 0.7740329128785196)	(8.0, 0.5711549866635321)	(9.0, 0.47710467747390806)	('>10', 3.642817841512013)	('>50', 0.7117815767322171)	('>100', 0.27033446554088236)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-12_S24_R2_001	(1.0, 76.29925614102406)	(2.0, 10.611660976468865)	(3.0, 3.2522615440097713)	(4.0, 1.8064026171982015)	(5.0, 1.1794689690709723)	(6.0, 0.9224550903696794)	(7.0, 0.6780223311782833)	(8.0, 0.5957410385236914)	(9.0, 0.48336907529563716)	('>10', 3.25857807456836)	('>50', 0.6751021681692503)	('>100', 0.23768197412315598)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-13_S25_R1_001	(1.0, 83.18069536128472)	(2.0, 9.615214951273563)	(3.0, 2.5760323449581275)	(4.0, 1.3334982776913518)	(5.0, 0.8533849853984858)	(6.0, 0.5933142915853978)	(7.0, 0.3650124261615377)	(8.0, 0.22101876863948994)	(9.0, 0.16122187146128442)	('>10', 0.9539628721350812)	('>50', 0.11195136280961464)	('>100', 0.03469248660140081)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-13_S25_R2_001	(1.0, 84.83966233951949)	(2.0, 8.888704814132032)	(3.0, 2.254000378541591)	(4.0, 1.1945892354088532)	(5.0, 0.7553572194685148)	(6.0, 0.5538024412538465)	(7.0, 0.28757453276061234)	(8.0, 0.18421072632167504)	(9.0, 0.13351344496404904)	('>10', 0.8026697707837878)	('>50', 0.07738084759616479)	('>100', 0.028534249249363042)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-14_S26_R1_001	(1.0, 77.30885523972046)	(2.0, 10.10117165700973)	(3.0, 3.049989238644052)	(4.0, 1.8590888636535876)	(5.0, 1.3404591025369184)	(6.0, 1.0664159630079144)	(7.0, 0.8221783313123399)	(8.0, 0.6456373358769075)	(9.0, 0.5139417882631533)	('>10', 2.6961585464634363)	('>50', 0.5020908661048331)	('>100', 0.08758308282587168)	('>500', 0.006429984580794431)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-14_S26_R2_001	(1.0, 79.6721628856068)	(2.0, 9.088464220702363)	(3.0, 2.7506427630427512)	(4.0, 1.7302007218732935)	(5.0, 1.2583298568257926)	(6.0, 0.9727876490573372)	(7.0, 0.6946969141762702)	(8.0, 0.5929716603678722)	(9.0, 0.4202637644996729)	('>10', 2.284794690755454)	('>50', 0.4517597075098011)	('>100', 0.07665564523214514)	('>500', 0.006269520350468741)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-15_S27_R1_001	(1.0, 79.89262731657941)	(2.0, 10.95438053283429)	(3.0, 3.0059410276160783)	(4.0, 1.583730078749531)	(5.0, 1.1008960280546078)	(6.0, 0.7264485786344601)	(7.0, 0.48988848141243296)	(8.0, 0.34257249125464767)	(9.0, 0.2546678523272451)	('>10', 1.3123727230554474)	('>50', 0.28378236601668183)	('>100', 0.052692523465172864)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-15_S27_R2_001	(1.0, 82.1155722678309)	(2.0, 9.866786122892178)	(3.0, 2.687504307300914)	(4.0, 1.4672931056634901)	(5.0, 0.9011089106554505)	(6.0, 0.5776183313760876)	(7.0, 0.413725967860909)	(8.0, 0.2773563493008552)	(9.0, 0.19229875471596902)	('>10', 1.2001732829110614)	('>50', 0.2640485132507294)	('>100', 0.03651408624142808)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-16_S28_R1_001	(1.0, 79.94431789317206)	(2.0, 9.992724972645055)	(3.0, 3.0134233040267886)	(4.0, 1.918652217308509)	(5.0, 1.3529820411405438)	(6.0, 0.9780436294528603)	(7.0, 0.6358673740063386)	(8.0, 0.45084189564249705)	(9.0, 0.2911044724116063)	('>10', 1.1930797605463304)	('>50', 0.21066176712746507)	('>100', 0.018300672519991158)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-16_S28_R2_001	(1.0, 82.19958473644311)	(2.0, 8.96692464952984)	(3.0, 2.7329322033759884)	(4.0, 1.7224284090131214)	(5.0, 1.2003608173991167)	(6.0, 0.8094501774564986)	(7.0, 0.5543170950635521)	(8.0, 0.35662917428060553)	(9.0, 0.23764384951222095)	('>10', 1.0085489358103514)	('>50', 0.19275092691462523)	('>100', 0.018429025200945783)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-17_S29_R1_001	(1.0, 79.19981739831321)	(2.0, 10.618861297321097)	(3.0, 3.1163181753357216)	(4.0, 1.822549953333483)	(5.0, 1.3264311377134808)	(6.0, 0.8878541807365512)	(7.0, 0.6202737006733039)	(8.0, 0.41724512828743693)	(9.0, 0.2865753761293413)	('>10', 1.349587760787333)	('>50', 0.2979027576409253)	('>100', 0.05658313372808516)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-17_S29_R2_001	(1.0, 81.24404339380517)	(2.0, 9.627850318664995)	(3.0, 2.846952306741504)	(4.0, 1.697001883315687)	(5.0, 1.1174921108138844)	(6.0, 0.8139735070000466)	(7.0, 0.5237280145676291)	(8.0, 0.3427994932419903)	(9.0, 0.21289477974897486)	('>10', 1.2282059036979853)	('>50', 0.30487693963439655)	('>100', 0.04018134876780351)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-18_S30_R1_001	(1.0, 77.47190875741094)	(2.0, 11.509926296625487)	(3.0, 3.1404289134803745)	(4.0, 1.9129706985838417)	(5.0, 1.3306393201116635)	(6.0, 0.9156522229014937)	(7.0, 0.7072728454383376)	(8.0, 0.4801895593809098)	(9.0, 0.32628340830980157)	('>10', 1.7015404825062035)	('>50', 0.42449251975680946)	('>100', 0.07869497549416626)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-18_S30_R2_001	(1.0, 79.69425421058793)	(2.0, 10.346384092261838)	(3.0, 2.9650060631796245)	(4.0, 1.7666628880081798)	(5.0, 1.1967456181689275)	(6.0, 0.8399306367674226)	(7.0, 0.5773525523524318)	(8.0, 0.42421733692227054)	(9.0, 0.2864533518264647)	('>10', 1.4741757715701247)	('>50', 0.3695630785208551)	('>100', 0.05925439983397185)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
