Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KTP-13_S25	2.6040799999999997	85.72109999999999	3794.542095	29.670706	39.3123	99.95287133814676	98.75573405597986	4.642176561282621	151.0	151.0						
KTP-13_S25_R1_001											10.394435779516101	39.0	149.19676862424507	151	27.27272727272727	14.835353
KTP-13_S25_R2_001											9.297105086154204	39.0	149.18692645870982	151	27.27272727272727	14.835353
KTP-14_S26	2.26821	84.9438	4588.097672	36.253147999999996	38.5607	99.94537529082957	98.61458628770384	4.737578364843764	151.0	151.0						
KTP-14_S26_R1_001											15.273060264677568	38.0	148.99350726728613	151	27.27272727272727	18.126573999999998
KTP-14_S26_R2_001											13.642856521419318	38.0	148.98592944259627	151	27.27272727272727	18.126573999999998
KTP-15_S27	2.63269	84.6903	4303.774875	34.040304	36.6988	99.94565870353904	98.81197331593822	3.969322241774023	151.0	151.0						
KTP-15_S27_R1_001											12.667274168710463	36.0	149.29522444922935	151	27.27272727272727	17.020152
KTP-15_S27_R2_001											11.222299532755272	36.0	149.28027458274167	151	27.27272727272727	17.020152
KTP-16_S28	2.46697	84.54169999999999	3448.098177	27.29522	38.4403	99.95038223984456	98.90761967990842	3.868757179470185	151.0	151.0						
KTP-16_S28_R1_001											12.887400064653335	38.0	149.42944383668643	151	27.27272727272727	13.64761
KTP-16_S28_R2_001											11.3883542509098	38.0	149.42062837375923	151	27.27272727272727	13.64761
KTP-17_S29	2.6567600000000002	84.956	4150.1134569999995	32.756592	36.7689	99.94756783594299	98.71027990943145	4.683869811034286	151.0	151.0						
KTP-17_S29_R1_001											13.321166902095399	36.0	149.13649771624594	151	27.27272727272727	16.378296
KTP-17_S29_R2_001											11.989156887805137	37.0	149.12546671521872	151	27.27272727272727	16.378296
KTP-18_S30	3.01539	85.4602	4207.898561	33.05743	36.9412	99.9461832918471	98.58747643714483	4.887799722027633	151.0	151.0						
KTP-18_S30_R1_001											14.519899427844962	36.0	148.9508551632719	151	27.27272727272727	16.528715
KTP-18_S30_R2_001											13.063264063228559	37.0	148.94419287887777	151	27.27272727272727	16.528715
KTP-19_S31	2.60535	84.64930000000001	6746.116599	53.528017999999996	36.0353	99.94547887084053	98.54521980338018	4.764747115878946	151.0	151.0						
KTP-19_S31_R1_001											19.069970177668864	35.0	148.89145583533468	151	27.27272727272727	26.764008999999998
KTP-19_S31_R2_001											16.867867198294334	36.0	148.87818032044453	151	27.27272727272727	26.764008999999998
KTP-1_S13	2.57937	85.3625	3056.2736889999996	23.995055999999998	39.7439	99.95055593539965	98.76691484340977	4.185250539781728	151.0	151.0						
KTP-1_S13_R1_001											11.113215995443625	39.0	149.2177301024011	151	36.36363636363637	11.997527999999999
KTP-1_S13_R2_001											9.955940610641193	40.0	149.20682343896175	151	36.36363636363637	11.997527999999999
KTP-2_S14	3.06007	84.9545	7254.083632	57.194953999999996	36.5573	99.94764168810663	98.81756714977439	3.9463981039308123	151.0	151.0						
KTP-2_S14_R1_001											18.61169100835481	36.0	149.2996401046148	151	27.27272727272727	28.597476999999998
KTP-2_S14_R2_001											16.700268523336334	36.0	149.286950418738	151	27.27272727272727	28.597476999999998
KTP-3_S15	2.28084	84.4726	4067.577891	32.307339999999996	38.9166	99.94703082761285	98.65333296445216	4.313838231862915	151.0	151.0						
KTP-3_S15_R1_001											12.295137154656118	38.0	149.0533828535559	151	27.27272727272727	16.153669999999998
KTP-3_S15_R2_001											10.951478283582873	39.0	149.03852876776608	151	36.36363636363637	16.153669999999998
KTP-4_S16	2.47908	84.5653	4471.2664589999995	35.48343	37.256299999999996	99.94661766638644	98.62878546799465	4.336511843064502	151.0	151.0						
KTP-4_S16_R1_001											11.209085246829346	37.0	149.0181513455717	151	27.27272727272727	17.741715
KTP-4_S16_R2_001											9.954369762536274	37.0	149.00107841885634	151	27.27272727272727	17.741715
KTP-5_S17	2.93201	85.3612	8188.399079999999	64.413258	38.4169	99.94849057172331	98.57398265966421	4.835153536919192	151.0	151.0						
KTP-5_S17_R1_001											19.20758660932883	38.0	148.930185118101	151	27.27272727272727	32.206629
KTP-5_S17_R2_001											17.370599026380958	38.0	148.91741734287064	151	27.27272727272727	32.206629
KTP-6_S18	2.55671	85.99719999999999	3021.2526749999997	23.780835999999997	39.3557	99.94575044599958	97.78288337900864	7.461478109540054	151.0	151.0						
KTP-6_S18_R1_001											14.27378229507741	39.0	147.73652028044768	151	27.27272727272727	11.890417999999999
KTP-6_S18_R2_001											13.198763405966758	39.0	147.72839483019015	151	27.27272727272727	11.890417999999999
KTP-7_S19	2.2114100000000003	84.5446	2764.202007	21.96484	46.4219	99.95662219607459	98.53497649338152	5.320488794856117	151.0	151.0						
KTP-7_S19_R1_001											9.677591403736827	46.0	148.85715652834256	151	36.36363636363637	10.98242
KTP-7_S19_R2_001											8.883952223273695	46.0	148.84875273391475	151	36.36363636363637	10.98242
KTP-8_S20	2.39551	84.7924	5133.571766	40.581834	38.5376	99.94684191365367	98.74685089107295	4.322520335603273	151.0	151.0						
KTP-8_S20_R1_001											13.033099826376102	38.0	149.19258414984398	151	27.27272727272727	20.290917
KTP-8_S20_R2_001											11.457560924377873	38.0	149.18235760365093	151	27.27272727272727	20.290917
KTP-9_S21	2.9852	85.43039999999999	3949.498051	30.99521	42.739399999999996	99.95425257557419	98.73225261160515	4.545728655920935	151.0	151.0						
KTP-9_S21_R1_001											12.383830149793013	42.0	149.15914562282364	151	36.36363636363637	15.497605
KTP-9_S21_R2_001											11.303307408341851	43.0	149.15001963206572	151	36.36363636363637	15.497605
STP-1_S46	2.2744299999999997	84.68900000000001	2821.648619	22.363968	35.7611	99.94713037720487	98.60984220244458	4.943926469125257	151.0	151.0						
STP-1_S46_R1_001											12.433471151479765	35.0	148.98527068183964	151	27.27272727272727	11.181984
STP-1_S46_R2_001											11.08329650711984	36.0	148.97419795986116	151	27.27272727272727	11.181984
STP-2_S47	2.6861099999999998	86.4772	3512.8806459999996	27.51448	39.8314	99.950537806901	97.72571849011645	8.585748175246119	151.0	151.0						
STP-2_S47_R1_001											13.635592073825592	39.0	147.6415893740314	151	27.27272727272727	13.75724
STP-2_S47_R2_001											12.503807422561891	40.0	147.63544286499328	151	27.27272727272727	13.75724
STP-3_S48	3.34413	86.6558	3655.724962	28.353147999999997	38.9771	99.94787776931517	98.48521695083915	5.463221255379401	151.0	151.0						
STP-3_S48_R1_001											14.830819445926195	38.0	148.79408543982487	151	27.27272727272727	14.176573999999999
STP-3_S48_R2_001											13.610459678049295	39.0	148.7870418480516	151	27.27272727272727	14.176573999999999
WBP-1_S5	2.6609000000000003	86.8739	2883.656154	22.512522	40.195	99.94654724029705	97.59347713354276	9.403903170237006	151.0	151.0						
WBP-1_S5_R1_001											14.90481411422428	40.0	147.4457080375091	151	27.27272727272727	11.256261
WBP-1_S5_R2_001											13.890250789800234	40.0	147.4434635088863	151	27.27272727272727	11.256261
WBP-2_S6	2.58006	86.4834	3143.962459	24.422638	38.4984	99.94595644005585	98.52359606817998	5.254576023647884	151.0	151.0						
WBP-2_S6_R1_001											17.600280963670883	38.0	148.85396565268667	151	27.27272727272727	12.211319
WBP-2_S6_R2_001											16.178395977622856	38.0	148.84881854286175	151	27.27272727272727	12.211319
WBP-3_S7	3.30013	87.7238	2450.581639	18.952527999999997	40.125499999999995	99.94627351904654	97.56055151202115	9.028543168605173	151.0	151.0						
WBP-3_S7_R1_001											17.47240315788183	40.0	147.39635250769712	151	27.27272727272727	9.476263999999999
WBP-3_S7_R2_001											16.366435737374488	40.0	147.39424714212268	151	27.27272727272727	9.476263999999999
WBP-4_S8	2.8770000000000002	85.0161	7292.399598999999	57.541261999999996	36.6902	99.94541161790426	98.66783076793588	4.399238597328004	151.0	151.0						
WBP-4_S8_R1_001											21.717039646705473	36.0	149.07459297642794	151	27.27272727272727	28.770630999999998
WBP-4_S8_R2_001											19.56587440555019	37.0	149.06585701926386	151	27.27272727272727	28.770630999999998
