Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
KTP-11_S23_R1_001	(12.0, 2.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 14.0)	(16.0, 69.0)	(17.0, 254.0)	(18.0, 682.0)	(19.0, 1516.0)	(20.0, 3284.0)	(21.0, 6315.0)	(22.0, 10889.0)	(23.0, 17992.0)	(24.0, 27702.0)	(25.0, 40441.0)	(26.0, 56059.0)	(27.0, 75873.0)	(28.0, 97826.0)	(29.0, 123451.0)	(30.0, 151561.0)	(31.0, 182059.0)	(32.0, 220559.0)	(33.0, 266028.0)	(34.0, 325819.0)	(35.0, 411966.0)	(36.0, 543261.0)	(37.0, 794578.0)	(38.0, 1383108.0)	(39.0, 3275818.0)	(40.0, 4682296.0)		
KTP-11_S23_R2_001	(10.0, 2.0)	(11.0, 30.0)	(12.0, 273.0)	(13.0, 1102.0)	(14.0, 3588.0)	(15.0, 9961.0)	(16.0, 21596.0)	(17.0, 34258.0)	(18.0, 45260.0)	(19.0, 56570.0)	(20.0, 69492.0)	(21.0, 85208.0)	(22.0, 103324.0)	(23.0, 125200.0)	(24.0, 151501.0)	(25.0, 183334.0)	(26.0, 221463.0)	(27.0, 262211.0)	(28.0, 307024.0)	(29.0, 358627.0)	(30.0, 423965.0)	(31.0, 507041.0)	(32.0, 613738.0)	(33.0, 752324.0)	(34.0, 927610.0)	(35.0, 1149943.0)	(36.0, 1422034.0)	(37.0, 1702978.0)	(38.0, 1806951.0)	(39.0, 1209487.0)	(40.0, 143330.0)
KTP-12_S24_R1_001	(14.0, 2.0)	(15.0, 12.0)	(16.0, 45.0)	(17.0, 194.0)	(18.0, 516.0)	(19.0, 1550.0)	(20.0, 3680.0)	(21.0, 7421.0)	(22.0, 13265.0)	(23.0, 21779.0)	(24.0, 34273.0)	(25.0, 50501.0)	(26.0, 71542.0)	(27.0, 95720.0)	(28.0, 124794.0)	(29.0, 157022.0)	(30.0, 193918.0)	(31.0, 234904.0)	(32.0, 283493.0)	(33.0, 341722.0)	(34.0, 415447.0)	(35.0, 519019.0)	(36.0, 680507.0)	(37.0, 979970.0)	(38.0, 1695105.0)	(39.0, 4299785.0)	(40.0, 7050921.0)				
KTP-12_S24_R2_001	(11.0, 26.0)	(12.0, 331.0)	(13.0, 1389.0)	(14.0, 4246.0)	(15.0, 11721.0)	(16.0, 26183.0)	(17.0, 41508.0)	(18.0, 53874.0)	(19.0, 66548.0)	(20.0, 81491.0)	(21.0, 100757.0)	(22.0, 122377.0)	(23.0, 148147.0)	(24.0, 179552.0)	(25.0, 217917.0)	(26.0, 263233.0)	(27.0, 311826.0)	(28.0, 364298.0)	(29.0, 427659.0)	(30.0, 505077.0)	(31.0, 606404.0)	(32.0, 742145.0)	(33.0, 926725.0)	(34.0, 1179074.0)	(35.0, 1523918.0)	(36.0, 1975706.0)	(37.0, 2498800.0)	(38.0, 2769262.0)	(39.0, 1900528.0)	(40.0, 226385.0)	
KTP-13_S25_R1_001	(14.0, 3.0)	(15.0, 10.0)	(16.0, 61.0)	(17.0, 228.0)	(18.0, 573.0)	(19.0, 1490.0)	(20.0, 3348.0)	(21.0, 6722.0)	(22.0, 12022.0)	(23.0, 20265.0)	(24.0, 31838.0)	(25.0, 46737.0)	(26.0, 65062.0)	(27.0, 87269.0)	(28.0, 113765.0)	(29.0, 142445.0)	(30.0, 176051.0)	(31.0, 213471.0)	(32.0, 257180.0)	(33.0, 310869.0)	(34.0, 378628.0)	(35.0, 475221.0)	(36.0, 625462.0)	(37.0, 901392.0)	(38.0, 1546077.0)	(39.0, 3682156.0)	(40.0, 5744003.0)				
KTP-13_S25_R2_001	(10.0, 3.0)	(11.0, 21.0)	(12.0, 319.0)	(13.0, 1417.0)	(14.0, 4448.0)	(15.0, 11984.0)	(16.0, 26157.0)	(17.0, 41363.0)	(18.0, 53672.0)	(19.0, 66325.0)	(20.0, 79953.0)	(21.0, 97429.0)	(22.0, 117304.0)	(23.0, 140721.0)	(24.0, 169099.0)	(25.0, 202159.0)	(26.0, 241966.0)	(27.0, 286122.0)	(28.0, 336378.0)	(29.0, 397125.0)	(30.0, 470609.0)	(31.0, 565601.0)	(32.0, 686963.0)	(33.0, 842438.0)	(34.0, 1041356.0)	(35.0, 1298408.0)	(36.0, 1620527.0)	(37.0, 1988637.0)	(38.0, 2207987.0)	(39.0, 1620926.0)	(40.0, 224931.0)
KTP-14_S26_R1_001	(14.0, 4.0)	(15.0, 25.0)	(16.0, 126.0)	(17.0, 398.0)	(18.0, 834.0)	(19.0, 2091.0)	(20.0, 4655.0)	(21.0, 9075.0)	(22.0, 16104.0)	(23.0, 26118.0)	(24.0, 40637.0)	(25.0, 59389.0)	(26.0, 83298.0)	(27.0, 111340.0)	(28.0, 143802.0)	(29.0, 179583.0)	(30.0, 220465.0)	(31.0, 267211.0)	(32.0, 321353.0)	(33.0, 387585.0)	(34.0, 471971.0)	(35.0, 589716.0)	(36.0, 772911.0)	(37.0, 1116426.0)	(38.0, 1926474.0)	(39.0, 4666067.0)	(40.0, 6718823.0)				
KTP-14_S26_R2_001	(10.0, 2.0)	(11.0, 64.0)	(12.0, 673.0)	(13.0, 2535.0)	(14.0, 7342.0)	(15.0, 19971.0)	(16.0, 42214.0)	(17.0, 64167.0)	(18.0, 81765.0)	(19.0, 98908.0)	(20.0, 118054.0)	(21.0, 140888.0)	(22.0, 168008.0)	(23.0, 199302.0)	(24.0, 237293.0)	(25.0, 281034.0)	(26.0, 331861.0)	(27.0, 388782.0)	(28.0, 450101.0)	(29.0, 522101.0)	(30.0, 610807.0)	(31.0, 723352.0)	(32.0, 866873.0)	(33.0, 1058038.0)	(34.0, 1307514.0)	(35.0, 1631152.0)	(36.0, 2031461.0)	(37.0, 2439752.0)	(38.0, 2534346.0)	(39.0, 1603692.0)	(40.0, 174429.0)
KTP-15_S27_R1_001	(12.0, 1.0)	(13.0, 1.0)	(14.0, 6.0)	(15.0, 20.0)	(16.0, 71.0)	(17.0, 232.0)	(18.0, 648.0)	(19.0, 1753.0)	(20.0, 4176.0)	(21.0, 8638.0)	(22.0, 15512.0)	(23.0, 25537.0)	(24.0, 39487.0)	(25.0, 57551.0)	(26.0, 79853.0)	(27.0, 107188.0)	(28.0, 137817.0)	(29.0, 173044.0)	(30.0, 212980.0)	(31.0, 258163.0)	(32.0, 309672.0)	(33.0, 373514.0)	(34.0, 453276.0)	(35.0, 564015.0)	(36.0, 731263.0)	(37.0, 1030737.0)	(38.0, 1729758.0)	(39.0, 4144248.0)	(40.0, 6570245.0)		
KTP-15_S27_R2_001	(10.0, 2.0)	(11.0, 49.0)	(12.0, 701.0)	(13.0, 2814.0)	(14.0, 8294.0)	(15.0, 21965.0)	(16.0, 46652.0)	(17.0, 71256.0)	(18.0, 88300.0)	(19.0, 104177.0)	(20.0, 121055.0)	(21.0, 143723.0)	(22.0, 169154.0)	(23.0, 199184.0)	(24.0, 235147.0)	(25.0, 276711.0)	(26.0, 325025.0)	(27.0, 377350.0)	(28.0, 434901.0)	(29.0, 499881.0)	(30.0, 580307.0)	(31.0, 681569.0)	(32.0, 808471.0)	(33.0, 974761.0)	(34.0, 1186950.0)	(35.0, 1466835.0)	(36.0, 1818334.0)	(37.0, 2194522.0)	(38.0, 2359418.0)	(39.0, 1625565.0)	(40.0, 206333.0)
