Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WBP-2_S6_R1_001	WBP-2_S6_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12217922.0	1.8 Gbp	0.0	151.0	38.0	82.23716386848892	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-2_S6_R2_001	WBP-2_S6_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12217922.0	1.8 Gbp	0.0	151.0	38.0	83.74446586868486	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-3_S7_R1_001	WBP-3_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9481358.0	1.4 Gbp	0.0	151.0	40.0	82.36091596649385	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	warn
WBP-3_S7_R2_001	WBP-3_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9481358.0	1.4 Gbp	0.0	151.0	40.0	83.54212431258041	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	warn
WBP-4_S8_R1_001	WBP-4_S8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28786345.0	4.3 Gbp	0.0	151.0	36.0	78.11004547165496	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-4_S8_R2_001	WBP-4_S8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28786345.0	4.3 Gbp	0.0	151.0	37.0	80.3400710458058	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-5_S9_R1_001	WBP-5_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23747752.0	3.5 Gbp	0.0	151.0	36.0	75.25919029404213	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-5_S9_R2_001	WBP-5_S9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23747752.0	3.5 Gbp	0.0	151.0	37.0	77.63616504468486	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-6_S10_R1_001	WBP-6_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25197302.0	3.8 Gbp	0.0	151.0	36.0	78.64418938146312	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-6_S10_R2_001	WBP-6_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25197302.0	3.8 Gbp	0.0	151.0	37.0	80.79393881245865	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-7_S11_R1_001	WBP-7_S11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27143561.0	4 Gbp	0.0	151.0	35.0	75.40790336224318	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-7_S11_R2_001	WBP-7_S11_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27143561.0	4 Gbp	0.0	151.0	36.0	78.03813541870893	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-8_S12_R1_001	WBP-8_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9501878.0	1.4 Gbp	0.0	151.0	39.0	80.29715794540228	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WBP-8_S12_R2_001	WBP-8_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9501878.0	1.4 Gbp	0.0	151.0	39.0	81.8497118906135	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-10_S41_R1_001	WZP-10_S41_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21195700.0	3.2 Gbp	0.0	151.0	35.0	80.93414913993873	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
