Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KTP-2_S14_R1_001	(1.0, 73.11897335061789)	(2.0, 11.14063411765343)	(3.0, 3.083172723861223)	(4.0, 1.7957538243059172)	(5.0, 1.3608996905144195)	(6.0, 1.1745788156006403)	(7.0, 1.052980189709306)	(8.0, 0.7655095871339662)	(9.0, 0.7073375583072121)	('>10', 4.81585306795716)	('>50', 0.6478662271026798)	('>100', 0.2801266634736147)	('>500', 0.0)	('>1k', 0.05631418376250448)	('>5k', 0.0)	('>10k+', 0.0)
KTP-2_S14_R2_001	(1.0, 75.86075272192011)	(2.0, 10.101370775503604)	(3.0, 2.7952638503874723)	(4.0, 1.6166024251764621)	(5.0, 1.288481724748334)	(6.0, 1.0305050815416394)	(7.0, 0.907535422790964)	(8.0, 0.738689433419119)	(9.0, 0.5469650431220835)	('>10', 4.307826024279286)	('>50', 0.5616594203722582)	('>100', 0.1982093729267984)	('>500', 0.0)	('>1k', 0.046138703811939935)	('>5k', 0.0)	('>10k+', 0.0)
KTP-3_S15_R1_001	(1.0, 80.4757049300745)	(2.0, 10.324081301900627)	(3.0, 2.846312624176317)	(4.0, 1.6069729115641356)	(5.0, 1.0600461711107643)	(6.0, 0.6999125544385145)	(7.0, 0.46746837163214194)	(8.0, 0.3476769146643915)	(9.0, 0.18515077625048293)	('>10', 1.2574121660501314)	('>50', 0.5522771569240671)	('>100', 0.1769841212139492)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-3_S15_R2_001	(1.0, 82.68086206354423)	(2.0, 9.22728598912674)	(3.0, 2.5988638852276904)	(4.0, 1.4224847121150432)	(5.0, 0.9332489921742333)	(6.0, 0.6231882032206304)	(7.0, 0.3649686346882903)	(8.0, 0.26110577836823773)	(9.0, 0.18214211718635906)	('>10', 1.0884184269248982)	('>50', 0.4884281258106665)	('>100', 0.1290030716130484)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-4_S16_R1_001	(1.0, 81.83288415298327)	(2.0, 10.515935574394913)	(3.0, 2.5308791669941684)	(4.0, 1.134484163330635)	(5.0, 0.6496525723446633)	(6.0, 0.4583509471150137)	(7.0, 0.3156193603205975)	(8.0, 0.221902264519037)	(9.0, 0.1551849148203887)	('>10', 1.4390163388979864)	('>50', 0.5686487423131489)	('>100', 0.1774418019661589)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-4_S16_R2_001	(1.0, 84.02541076417994)	(2.0, 9.197539306563128)	(3.0, 2.262126566234978)	(4.0, 0.9880483716636597)	(5.0, 0.5923793167318968)	(6.0, 0.36640730468368526)	(7.0, 0.26090424456901196)	(8.0, 0.20160643092817)	(9.0, 0.16237762555552493)	('>10', 1.3086676308130505)	('>50', 0.517482595008841)	('>100', 0.11704984306800889)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-5_S17_R1_001	(1.0, 72.42034625084922)	(2.0, 11.066604415590593)	(3.0, 3.0225138958394338)	(4.0, 1.7309112185940327)	(5.0, 1.4221322409199855)	(6.0, 1.2528545648407545)	(7.0, 1.0578641311135037)	(8.0, 0.9568975113434512)	(9.0, 0.7597383583354802)	('>10', 5.1160146444369845)	('>50', 0.5431224652975618)	('>100', 0.6510003028389862)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-5_S17_R2_001	(1.0, 75.11545162976586)	(2.0, 10.02909053640909)	(3.0, 2.8025477866790056)	(4.0, 1.6018333680181758)	(5.0, 1.3267195602960222)	(6.0, 1.188298543775814)	(7.0, 0.9477915957056372)	(8.0, 0.8243962024893972)	(9.0, 0.7015971396631768)	('>10', 4.403419783023797)	('>50', 0.5108858948076784)	('>100', 0.5479679593663951)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-6_S18_R1_001	(1.0, 78.23642972069767)	(2.0, 10.220691166200247)	(3.0, 3.0455051015375845)	(4.0, 1.7554714934989675)	(5.0, 1.1941451468624902)	(6.0, 0.8546099570845435)	(7.0, 0.6714233317378431)	(8.0, 0.49786574008476253)	(9.0, 0.4062592073886452)	('>10', 2.675924927873264)	('>50', 0.37525565273172456)	('>100', 0.06641855430228288)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-6_S18_R2_001	(1.0, 79.96494560426143)	(2.0, 9.42384607101208)	(3.0, 2.7556603251170255)	(4.0, 1.682579286526208)	(5.0, 1.0963311542889356)	(6.0, 0.8498319618412988)	(7.0, 0.6215546824962325)	(8.0, 0.48877499720595624)	(9.0, 0.34758040420298836)	('>10', 2.378048936131265)	('>50', 0.3389895085879191)	('>100', 0.05185706832869566)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-7_S19_R1_001	(1.0, 84.02833348291097)	(2.0, 9.617980147100132)	(3.0, 2.2401707710587018)	(4.0, 1.0688438718105877)	(5.0, 0.7078808546171431)	(6.0, 0.45580902824299646)	(7.0, 0.3337529604876824)	(8.0, 0.2115367815406821)	(9.0, 0.17004454700855492)	('>10', 1.1024250171926775)	('>50', 0.04995137717160954)	('>100', 0.013271160858239942)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-7_S19_R2_001	(1.0, 85.38373895442662)	(2.0, 8.732933465147957)	(3.0, 2.1338459653775934)	(4.0, 1.0123456664161468)	(5.0, 0.645938060482794)	(6.0, 0.3996490943050479)	(7.0, 0.29989308876242826)	(8.0, 0.20329559411313847)	(9.0, 0.15138726239280054)	('>10', 0.9872342798371313)	('>50', 0.044856288230783546)	('>100', 0.004882280507535827)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-8_S20_R1_001	(1.0, 79.4520646148949)	(2.0, 10.504044822372864)	(3.0, 2.999461515428044)	(4.0, 1.7666070749001606)	(5.0, 1.2077174429307371)	(6.0, 0.9187803851740055)	(7.0, 0.6181814542348506)	(8.0, 0.43487776704522346)	(9.0, 0.334143927668031)	('>10', 1.3389142112861503)	('>50', 0.36594437791680673)	('>100', 0.05926240614826715)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-8_S20_R2_001	(1.0, 82.02365499531113)	(2.0, 9.21248505396876)	(3.0, 2.6993413852546047)	(4.0, 1.4975124925422247)	(5.0, 1.1273225954462445)	(6.0, 0.7359824370428741)	(7.0, 0.5635591914292083)	(8.0, 0.35974576768709593)	(9.0, 0.282227219425367)	('>10', 1.122587014904356)	('>50', 0.3326434660587705)	('>100', 0.04293838092932848)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
