Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20150415.B-CAMA_reseq_23_R2	(0, 340.0)	(5, 452.0)	(10, 426.0)	(15, 503.0)	(20, 448.0)	(25, 663.0)	(30, 13040.0)	(35, 16946.0)	(40, 17415.0)	(45, 19945.0)	(50, 22699.0)	(55, 27119.0)	(60, 32105.0)	(65, 36399.0)	(70, 41178.0)	(75, 46462.0)	(80, 52190.0)	(85, 58222.0)	(90, 64900.0)	(95, 73013.0)	(100, 81287.0)	(105, 87181.0)	(110, 97425.0)	(115, 146035.0)	(120, 170793.0)	(125, 19155217.0)
20150415.B-CAMA_reseq_24_R1	(0, 4678.0)	(5, 408.0)	(10, 372.0)	(15, 385.0)	(20, 422.0)	(25, 701.0)	(30, 10416.0)	(35, 13678.0)	(40, 16038.0)	(45, 19749.0)	(50, 24868.0)	(55, 32983.0)	(60, 42200.0)	(65, 51960.0)	(70, 63844.0)	(75, 76445.0)	(80, 90899.0)	(85, 105696.0)	(90, 122115.0)	(95, 139556.0)	(100, 155222.0)	(105, 170067.0)	(110, 186257.0)	(115, 235728.0)	(120, 262193.0)	(125, 16340560.0)
20150415.B-CAMA_reseq_24_R2	(0, 351.0)	(5, 346.0)	(10, 427.0)	(15, 375.0)	(20, 433.0)	(25, 669.0)	(30, 10329.0)	(35, 13667.0)	(40, 16034.0)	(45, 19701.0)	(50, 24829.0)	(55, 32950.0)	(60, 42158.0)	(65, 51899.0)	(70, 63759.0)	(75, 76236.0)	(80, 90825.0)	(85, 105479.0)	(90, 121853.0)	(95, 139186.0)	(100, 154957.0)	(105, 169645.0)	(110, 185683.0)	(115, 235014.0)	(120, 261578.0)	(125, 16349057.0)
20150415.B-CAMA_reseq_25_R1	(0, 600.0)	(5, 410.0)	(10, 432.0)	(15, 394.0)	(20, 400.0)	(25, 470.0)	(30, 15664.0)	(35, 19119.0)	(40, 18621.0)	(45, 18426.0)	(50, 18114.0)	(55, 18799.0)	(60, 19534.0)	(65, 19656.0)	(70, 19881.0)	(75, 19997.0)	(80, 20077.0)	(85, 19992.0)	(90, 20090.0)	(95, 21151.0)	(100, 21105.0)	(105, 19296.0)	(110, 19228.0)	(115, 60270.0)	(120, 73392.0)	(125, 19640826.0)
20150415.B-CAMA_reseq_25_R2	(0, 357.0)	(5, 371.0)	(10, 421.0)	(15, 422.0)	(20, 430.0)	(25, 420.0)	(30, 15664.0)	(35, 19131.0)	(40, 18633.0)	(45, 18415.0)	(50, 18081.0)	(55, 18767.0)	(60, 19494.0)	(65, 19635.0)	(70, 19878.0)	(75, 19946.0)	(80, 20021.0)	(85, 19983.0)	(90, 20117.0)	(95, 21246.0)	(100, 21053.0)	(105, 19308.0)	(110, 19212.0)	(115, 59803.0)	(120, 72837.0)	(125, 19642299.0)
20150415.B-CAMA_reseq_26_R1	(0, 591.0)	(5, 392.0)	(10, 365.0)	(15, 428.0)	(20, 386.0)	(25, 466.0)	(30, 13823.0)	(35, 16587.0)	(40, 16154.0)	(45, 15257.0)	(50, 14821.0)	(55, 16510.0)	(60, 17595.0)	(65, 17689.0)	(70, 17626.0)	(75, 17716.0)	(80, 17779.0)	(85, 17606.0)	(90, 17915.0)	(95, 19284.0)	(100, 19179.0)	(105, 17078.0)	(110, 17675.0)	(115, 59115.0)	(120, 75169.0)	(125, 19693648.0)
20150415.B-CAMA_reseq_26_R2	(0, 315.0)	(5, 405.0)	(10, 401.0)	(15, 388.0)	(20, 386.0)	(25, 433.0)	(30, 13845.0)	(35, 16567.0)	(40, 16163.0)	(45, 15297.0)	(50, 14820.0)	(55, 16498.0)	(60, 17600.0)	(65, 17652.0)	(70, 17565.0)	(75, 17737.0)	(80, 17775.0)	(85, 17667.0)	(90, 17906.0)	(95, 19264.0)	(100, 19188.0)	(105, 17128.0)	(110, 17700.0)	(115, 59000.0)	(120, 74232.0)	(125, 19694922.0)
20150415.B-CAMA_reseq_2_R1	(0, 531.0)	(5, 343.0)	(10, 372.0)	(15, 387.0)	(20, 385.0)	(25, 402.0)	(30, 13913.0)	(35, 16267.0)	(40, 15094.0)	(45, 14362.0)	(50, 13429.0)	(55, 13981.0)	(60, 13968.0)	(65, 13812.0)	(70, 13565.0)	(75, 13476.0)	(80, 12868.0)	(85, 12890.0)	(90, 12629.0)	(95, 13852.0)	(100, 13431.0)	(105, 11683.0)	(110, 12205.0)	(115, 47301.0)	(120, 59473.0)	(125, 16805425.0)
20150415.B-CAMA_reseq_2_R2	(0, 318.0)	(5, 354.0)	(10, 342.0)	(15, 391.0)	(20, 370.0)	(25, 399.0)	(30, 13927.0)	(35, 16285.0)	(40, 15099.0)	(45, 14365.0)	(50, 13412.0)	(55, 13932.0)	(60, 14013.0)	(65, 13825.0)	(70, 13586.0)	(75, 13490.0)	(80, 12860.0)	(85, 12919.0)	(90, 12657.0)	(95, 13899.0)	(100, 13422.0)	(105, 11648.0)	(110, 12193.0)	(115, 47197.0)	(120, 58995.0)	(125, 16806146.0)
20150415.B-CAMA_reseq_3_R1	(0, 631.0)	(5, 382.0)	(10, 406.0)	(15, 387.0)	(20, 415.0)	(25, 366.0)	(30, 16504.0)	(35, 19403.0)	(40, 18505.0)	(45, 17224.0)	(50, 16395.0)	(55, 16875.0)	(60, 17336.0)	(65, 17162.0)	(70, 16828.0)	(75, 16324.0)	(80, 16006.0)	(85, 15944.0)	(90, 15536.0)	(95, 16802.0)	(100, 16807.0)	(105, 14948.0)	(110, 15282.0)	(115, 52296.0)	(120, 65095.0)	(125, 18310462.0)
