Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
20150415.B-CAMA_reseq_1_R1	(2.0, 50.0)	(3.0, 76.0)	(4.0, 74.0)	(5.0, 77.0)	(6.0, 133.0)	(7.0, 333.0)	(8.0, 799.0)	(9.0, 1020.0)	(10.0, 1454.0)	(11.0, 1715.0)	(12.0, 2258.0)	(13.0, 2788.0)	(14.0, 3504.0)	(15.0, 4365.0)	(16.0, 5570.0)	(17.0, 6846.0)	(18.0, 8363.0)	(19.0, 9976.0)	(20.0, 12062.0)	(21.0, 14591.0)	(22.0, 18458.0)	(23.0, 24412.0)	(24.0, 33663.0)	(25.0, 45603.0)	(26.0, 62319.0)	(27.0, 83441.0)	(28.0, 107968.0)	(29.0, 139261.0)	(30.0, 180005.0)	(31.0, 233190.0)	(32.0, 311373.0)	(33.0, 435769.0)	(34.0, 658578.0)	(35.0, 1148517.0)	(36.0, 2752780.0)	(37.0, 13055505.0)
20150415.B-CAMA_reseq_1_R2	(2.0, 21654.0)	(3.0, 2755.0)	(4.0, 2276.0)	(5.0, 1998.0)	(6.0, 2027.0)	(7.0, 2109.0)	(8.0, 2664.0)	(9.0, 3135.0)	(10.0, 3780.0)	(11.0, 4393.0)	(12.0, 5110.0)	(13.0, 6595.0)	(14.0, 8186.0)	(15.0, 9804.0)	(16.0, 11965.0)	(17.0, 14420.0)	(18.0, 18178.0)	(19.0, 22489.0)	(20.0, 28260.0)	(21.0, 35937.0)	(22.0, 45762.0)	(23.0, 56316.0)	(24.0, 69597.0)	(25.0, 84064.0)	(26.0, 99397.0)	(27.0, 117754.0)	(28.0, 137796.0)	(29.0, 162284.0)	(30.0, 193554.0)	(31.0, 237714.0)	(32.0, 298827.0)	(33.0, 395226.0)	(34.0, 554330.0)	(35.0, 879029.0)	(36.0, 1855268.0)	(37.0, 13972243.0)
20150415.B-CAMA_reseq_20_R1	(2.0, 55.0)	(3.0, 65.0)	(4.0, 83.0)	(5.0, 88.0)	(6.0, 154.0)	(7.0, 312.0)	(8.0, 835.0)	(9.0, 1084.0)	(10.0, 1525.0)	(11.0, 1724.0)	(12.0, 2257.0)	(13.0, 2798.0)	(14.0, 3505.0)	(15.0, 4231.0)	(16.0, 5275.0)	(17.0, 6182.0)	(18.0, 7453.0)	(19.0, 8770.0)	(20.0, 10443.0)	(21.0, 12688.0)	(22.0, 15924.0)	(23.0, 21368.0)	(24.0, 29115.0)	(25.0, 40534.0)	(26.0, 55732.0)	(27.0, 74879.0)	(28.0, 98689.0)	(29.0, 128184.0)	(30.0, 165762.0)	(31.0, 213281.0)	(32.0, 281023.0)	(33.0, 378606.0)	(34.0, 543162.0)	(35.0, 875474.0)	(36.0, 1990177.0)	(37.0, 17811610.0)
20150415.B-CAMA_reseq_20_R2	(2.0, 23962.0)	(3.0, 4003.0)	(4.0, 2232.0)	(5.0, 2157.0)	(6.0, 2396.0)	(7.0, 2457.0)	(8.0, 2972.0)	(9.0, 3568.0)	(10.0, 4247.0)	(11.0, 4848.0)	(12.0, 5949.0)	(13.0, 7283.0)	(14.0, 8857.0)	(15.0, 11379.0)	(16.0, 14154.0)	(17.0, 18157.0)	(18.0, 23126.0)	(19.0, 29337.0)	(20.0, 36706.0)	(21.0, 46233.0)	(22.0, 58276.0)	(23.0, 71719.0)	(24.0, 86599.0)	(25.0, 104146.0)	(26.0, 123379.0)	(27.0, 144455.0)	(28.0, 168798.0)	(29.0, 199756.0)	(30.0, 237703.0)	(31.0, 291482.0)	(32.0, 368432.0)	(33.0, 487251.0)	(34.0, 690156.0)	(35.0, 1109188.0)	(36.0, 2465827.0)	(37.0, 15931857.0)
20150415.B-CAMA_reseq_21_R1	(2.0, 66.0)	(3.0, 105.0)	(4.0, 91.0)	(5.0, 100.0)	(6.0, 206.0)	(7.0, 430.0)	(8.0, 1001.0)	(9.0, 1389.0)	(10.0, 1850.0)	(11.0, 2132.0)	(12.0, 2830.0)	(13.0, 3321.0)	(14.0, 4270.0)	(15.0, 5189.0)	(16.0, 6303.0)	(17.0, 7502.0)	(18.0, 8869.0)	(19.0, 10434.0)	(20.0, 12707.0)	(21.0, 15643.0)	(22.0, 20285.0)	(23.0, 27038.0)	(24.0, 37922.0)	(25.0, 52718.0)	(26.0, 73767.0)	(27.0, 98938.0)	(28.0, 131478.0)	(29.0, 171518.0)	(30.0, 222124.0)	(31.0, 287807.0)	(32.0, 378713.0)	(33.0, 513555.0)	(34.0, 735358.0)	(35.0, 1185355.0)	(36.0, 2668196.0)	(37.0, 18906777.0)
20150415.B-CAMA_reseq_21_R2	(2.0, 28974.0)	(3.0, 5612.0)	(4.0, 3507.0)	(5.0, 3330.0)	(6.0, 3687.0)	(7.0, 3845.0)	(8.0, 4451.0)	(9.0, 5274.0)	(10.0, 6252.0)	(11.0, 7411.0)	(12.0, 8996.0)	(13.0, 11039.0)	(14.0, 13816.0)	(15.0, 17873.0)	(16.0, 23194.0)	(17.0, 29967.0)	(18.0, 38836.0)	(19.0, 49564.0)	(20.0, 62799.0)	(21.0, 78303.0)	(22.0, 96065.0)	(23.0, 115682.0)	(24.0, 138051.0)	(25.0, 163061.0)	(26.0, 190091.0)	(27.0, 219974.0)	(28.0, 253380.0)	(29.0, 294615.0)	(30.0, 345906.0)	(31.0, 416838.0)	(32.0, 522541.0)	(33.0, 682716.0)	(34.0, 948333.0)	(35.0, 1494236.0)	(36.0, 3174037.0)	(37.0, 16133731.0)
20150415.B-CAMA_reseq_22_R1	(2.0, 62.0)	(3.0, 82.0)	(4.0, 71.0)	(5.0, 91.0)	(6.0, 140.0)	(7.0, 311.0)	(8.0, 745.0)	(9.0, 1107.0)	(10.0, 1352.0)	(11.0, 1591.0)	(12.0, 2067.0)	(13.0, 2549.0)	(14.0, 3251.0)	(15.0, 3990.0)	(16.0, 4853.0)	(17.0, 5885.0)	(18.0, 6905.0)	(19.0, 8267.0)	(20.0, 9957.0)	(21.0, 12062.0)	(22.0, 15459.0)	(23.0, 20908.0)	(24.0, 29378.0)	(25.0, 40763.0)	(26.0, 56209.0)	(27.0, 75559.0)	(28.0, 100450.0)	(29.0, 129661.0)	(30.0, 167647.0)	(31.0, 216882.0)	(32.0, 283154.0)	(33.0, 380108.0)	(34.0, 540091.0)	(35.0, 860341.0)	(36.0, 1916419.0)	(37.0, 16353385.0)
20150415.B-CAMA_reseq_22_R2	(2.0, 26388.0)	(3.0, 5203.0)	(4.0, 3428.0)	(5.0, 3298.0)	(6.0, 3380.0)	(7.0, 3364.0)	(8.0, 3959.0)	(9.0, 4482.0)	(10.0, 5291.0)	(11.0, 6331.0)	(12.0, 7662.0)	(13.0, 9114.0)	(14.0, 11306.0)	(15.0, 14674.0)	(16.0, 18866.0)	(17.0, 24212.0)	(18.0, 31077.0)	(19.0, 39571.0)	(20.0, 50153.0)	(21.0, 63464.0)	(22.0, 78200.0)	(23.0, 93932.0)	(24.0, 111851.0)	(25.0, 131101.0)	(26.0, 152340.0)	(27.0, 175371.0)	(28.0, 202365.0)	(29.0, 232809.0)	(30.0, 274025.0)	(31.0, 329834.0)	(32.0, 408807.0)	(33.0, 531287.0)	(34.0, 738132.0)	(35.0, 1161989.0)	(36.0, 2475000.0)	(37.0, 13819486.0)
20150415.B-CAMA_reseq_23_R1	(2.0, 44.0)	(3.0, 44.0)	(4.0, 60.0)	(5.0, 52.0)	(6.0, 127.0)	(7.0, 273.0)	(8.0, 757.0)	(9.0, 920.0)	(10.0, 1253.0)	(11.0, 1513.0)	(12.0, 1927.0)	(13.0, 2374.0)	(14.0, 3008.0)	(15.0, 3538.0)	(16.0, 4272.0)	(17.0, 5049.0)	(18.0, 6052.0)	(19.0, 7082.0)	(20.0, 8595.0)	(21.0, 11091.0)	(22.0, 13504.0)	(23.0, 18141.0)	(24.0, 24027.0)	(25.0, 33234.0)	(26.0, 45713.0)	(27.0, 61048.0)	(28.0, 81634.0)	(29.0, 106551.0)	(30.0, 138537.0)	(31.0, 181025.0)	(32.0, 238790.0)	(33.0, 324796.0)	(34.0, 466667.0)	(35.0, 757862.0)	(36.0, 1747448.0)	(37.0, 15965395.0)
20150415.B-CAMA_reseq_23_R2	(2.0, 20456.0)	(3.0, 3387.0)	(4.0, 1715.0)	(5.0, 1780.0)	(6.0, 1965.0)	(7.0, 1993.0)	(8.0, 2542.0)	(9.0, 3005.0)	(10.0, 3610.0)	(11.0, 4209.0)	(12.0, 5118.0)	(13.0, 6181.0)	(14.0, 7512.0)	(15.0, 9462.0)	(16.0, 11732.0)	(17.0, 14472.0)	(18.0, 18131.0)	(19.0, 22875.0)	(20.0, 28204.0)	(21.0, 35420.0)	(22.0, 44723.0)	(23.0, 54508.0)	(24.0, 66334.0)	(25.0, 80049.0)	(26.0, 96284.0)	(27.0, 113596.0)	(28.0, 134901.0)	(29.0, 159361.0)	(30.0, 193219.0)	(31.0, 239898.0)	(32.0, 308399.0)	(33.0, 413887.0)	(34.0, 594842.0)	(35.0, 978771.0)	(36.0, 2245330.0)	(37.0, 14334532.0)
